slang_term,standard_translation,source,confidence_score,upvotes,context_category,region,created_at,slang_length,standard_length
asscrest,"Asscresting is a facet of foreplay that involves snuggily placing the erect penis in the middle of the girls(or guys, asscresting is applicable to of all kinds) asscheeks and sliding or rotating in any desired direction",urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,8,219
asscrest,"""Yea she wasn't ready for sex so we just asscrested, it was chill.""

""[Dis bitch] [wuz] on her purriod so [ya boy] was asscresting dem cheeks all night.""",urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,8,153
alanna,alanna is the type of person the best person in the entire world,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,6,64
alanna,alanna is [amazing],urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,6,19
Vagina,bussys,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,6,6
PVS,svijetom,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,3,8
reality TV,a for a,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,10,7
reality TV,"Girl: Oh My God did you see the new real world it was so dramatic and good. that josh is such a hottie
Me: are you fucking kidding [me bitch] [make me a sandwich] and film it we'll send it into mtv because that is as interesting as [that bullshit]. fuck you. fuck reality tv. get a life.",urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,10,288
Drop,A girl with a fat ass that over of her,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,4,38
sky division,sky division is the best discord server and the in sky division is who is a baddie and ryan stan,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,12,96
sky division,sky division [means] [ashlyn] is [the best],urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,12,43
Shit Magnet,Someone who for some inextricable reason attracts and events,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,11,60
Steamin' Demon,"The act of removing one's member mid, or , while conditions; thus creating a steaming effect",urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,14,92
Steamin' Demon,While Roger and his woman were [getting it on] in the snowbank last night she came [face-to-face] with the [steamin' demon].,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,14,124
isendre,"The best, tallest and guy you can ever meet! Your ass will regret losing him and ;)",urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,7,83
isendre,J: omg is that isendre [hes] [lookin] [so hot] today.,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,7,53
Bob Duncan,’s,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,10,2
Bob Duncan,"I [pledge allegiance] to the Flag of the United States of America, and to the Republic for which it stands, one Nation under Bob Duncan, [indivisible], with liberty [and justice for all].""",urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,10,188
Fine,"Fine, when spoken to means , to the point where one cannot resist being turned on by his",urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,4,88
Fine,"[Damn], [that man] is [so fine]!",urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,4,32
masenta,that has,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,7,8
dead sailor,When you are having and it in,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,11,29
Chook Fucker,A,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,12,1
diddo,** acronym for dad I'd do ** male version of a superior term to describe a because it offers easy pronounceability and is compliant,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,5,131
school,a,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,6,1
school,"Hey [brayden] lets go to school, [ooh] i mean [prison].",urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,6,55
Huge spider web,A giant web that has been waiting all its life for you to accidentally run into and about having a on you for the next,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,15,118
Huge spider web,A [huge spider web] is also called [future] [anxiety],urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,15,53
ggs spaghetti beans,A used by,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,19,9
ggs spaghetti beans,This phrase was used by a famous youtuber who is [cracked at fortnite] and [cranks] [90's] on spaghetti beans. ggs spaghetti beans,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,19,130
Brittinie,She is a wonderful lover,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,9,24
koeiniggasex,"A word used community, another word for “Koeinisegg”",urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,12,52
Craigslist Cunt,"A woman who trolls for lonely guys on ""women seeking men""",urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,15,57
Craigslist Cunt,"""The other night, I was online with a really [nice girl]. We were [chatting] for 6 hours, then she was gone. [Never heard] back.""

""Sound like you got drop-kicked by a Craigslist Cunt. Too bad.""",urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,15,194
Boyfriend,"A boy who is caring, kind, sweet, and loving to a girl",urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,9,54
foodsexual,when someone is apparently sexually attracted,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,10,45
dirty zain,A tall who will steal ur kids so look out little youngsters a dirty will you up for a laugh,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,10,91
Down Horrendous,"Man 1- i’m you, i’ll do anything just to money Man 2- Bro your “Down Horrendous”",urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,15,80
Down Horrendous,[This man] is Down Horrendous,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,15,29
joog,"Used in the area as: A drug addict, somewhere between the age of 18-30",urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,4,70
joog,"R: We shouldn't of invited Phil over.

S:Why? Did he [pinch] from your weed sack again?

R: Yeah, that and he stole my 80 fuckin [cents] I had sitting on the counter, probably to buy more pills or crack

S: He certainly is a [text-book] joog.",urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,4,242
weed,"a , at , you will laugh a lot when your using it, you eat a fuck load, heaven",urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,4,77
